name,has_mw,iso3,numeric_iso,gdp_pc,gdp_pc_year
Austria,False,AUT,040,52084.6811953372,2022.0
Bahrain,False,BHR,048,30146.925026365,2022.0
Burundi,False,BDI,108,259.025031363515,2022.0
Cyprus,False,CYP,196,32048.240234375,2022.0
Denmark,False,DNK,208,67790.0539923276,2022.0
Djibouti,False,DJI,262,3136.11276804873,2022.0
Eritrea,False,ERI,232,,
Ethiopia,False,ETH,231,1027.58591095964,2022.0
Finland,False,FIN,246,50871.9304508821,2022.0
Grenada,False,GRD,308,9689.08269960317,2022.0
Guinea,False,GIN,324,1515.16794777584,2022.0
Isle of Man,False,IMN,833,79530.6054839665,2020.0
Italy,False,ITA,380,34776.423234274,2022.0
Liechtenstein,False,LIE,438,197504.548936258,2021.0
Nauru,False,NRU,520,11970.9382798352,2022.0
Norway,False,NOR,578,108729.18690323,2022.0
Rwanda,False,RWA,646,966.232071361993,2022.0
Singapore,False,SGP,702,82807.6290622897,2022.0
Somalia,False,SOM,706,592.103121972088,2022.0
South Sudan,False,SSD,728,,
Suriname,False,SUR,740,5858.82466074423,2022.0
Sweden,False,SWE,752,56424.2846986686,2022.0
Switzerland,False,CHE,756,93259.9057183024,2022.0
Tonga,False,TON,776,4425.97149198516,2021.0
Tuvalu,False,TUV,798,5221.53279904243,2022.0
United Arab Emirates,False,ARE,784,53707.9800809111,2022.0
Zimbabwe,False,ZWE,716,1676.82148896726,2022.0
